"gene_ID","functional_annoation","Module"
"CRO-01G000520","Leucine-rich receptor-like protein kinase family protein","IPAP"
"CRO-01G002180","beta galactosidase","IPAP"
"CRO-01G003410","hypothetical protein","IPAP"
"CRO-01G004880","Tetratricopeptide repeat (TPR)-like superfamily protein","IPAP"
"CRO-01G005980","glycosyl hydrolase family 81 protein","IPAP"
"CRO-01G006110","TCP family transcription factor","IPAP"
"CRO-01G006740","methyl esterase","IPAP"
"CRO-01G006750","cytochrome P450, family 76, subfamily C, polypeptide","IPAP"
"CRO-01G009470","ROP interactive partner","IPAP"
"CRO-01G010020","4-hydroxy-3-methylbut-2-enyl diphosphate synthase","IPAP"
"CRO-01G016560","apyrase","IPAP"
"CRO-01G018100","myo-inositol monophosphatase like","IPAP"
"CRO-01G025530","Myb/SANT-like DNA-binding domain containing protein","IPAP"
"CRO-01G027010","GroES-like zinc-binding dehydrogenase family protein","IPAP"
"CRO-01G027020","aspartate aminotransferase","IPAP"
"CRO-01G029710","nuclear factor Y, subunit A8","IPAP"
"CRO-01G030480","Di-glucose binding protein with Kinesin motor domain","IPAP"
"CRO-01G030490","aldehyde dehydrogenase  6B2","IPAP"
"CRO-01G030540","Deoxyxylulose-5-phosphate synthase","IPAP"
"CRO-01G031090","phosphofructokinase","IPAP"
"CRO-01G032400","elicitor-activated gene 3-1","IPAP"
"CRO-02G002830","Amino acid permease family protein","IPAP"
"CRO-02G003890","strictosidine synthase","IPAP"
"CRO-02G005470","Deoxyxylulose-5-phosphate synthase","IPAP"
"CRO-02G013750","PADRE domain containing protein","IPAP"
"CRO-02G019960","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","IPAP"
"CRO-02G025970","Glutathione S-transferase family protein","IPAP"
"CRO-02G027430","cysteine-rich RLK (RECEPTOR-like protein kinase)","IPAP"
"CRO-02G029310","glucose-6-phosphate dehydrogenase","IPAP"
"CRO-03G003420","Leucine-rich repeat protein kinase family protein","IPAP"
"CRO-03G004260","RING/U-box superfamily protein","IPAP"
"CRO-03G004950","cytochrome P450, family 76, subfamily G, polypeptide","IPAP"
"CRO-03G005030","Nucleotide-diphospho-sugar transferases superfamily protein","IPAP"
"CRO-03G009460","NAD(P)-binding Rossmann-fold superfamily protein","IPAP"
"CRO-03G014060","Protein of unknown function (DUF3411)","IPAP"
"CRO-03G016570","MATE efflux family protein","IPAP"
"CRO-03G018360","cytochrome P450, family 72, subfamily A, polypeptide","IPAP"
"CRO-03G019810","xyloglucan endotransglucosylase/hydrolase","IPAP"
"CRO-03G019930","K-box region and MADS-box transcription factor family protein","IPAP"
"CRO-03G021970","Reticulon family protein","IPAP"
"CRO-03G024460","UDP-Glycosyltransferase superfamily protein","IPAP"
"CRO-03G027950","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","IPAP"
"CRO-03G029030","SNF1-related protein kinase regulatory subunit gamma","IPAP"
"CRO-03G029040","Glucose-1-phosphate adenylyltransferase family protein","IPAP"
"CRO-03G031540","hypothetical protein","IPAP"
"CRO-03G031560","terpene synthase","IPAP"
"CRO-03G032160","conserved hypothetical protein","IPAP"
"CRO-03G032170","glucose-6-phosphate/phosphate translocator","IPAP"
"CRO-04G003090","conserved hypothetical protein","IPAP"
"CRO-04G004200","cytochrome B5 isoform B","IPAP"
"CRO-04G004220","PADRE domain containing protein","IPAP"
"CRO-04G009700","aldehyde dehydrogenase 2C4","IPAP"
"CRO-04G012590","Putative lysine decarboxylase family protein","IPAP"
"CRO-04G016630","C2H2-type zinc finger family protein","IPAP"
"CRO-04G020340","Patatin-like phospholipase family protein","IPAP"
"CRO-04G020370","hypothetical protein","IPAP"
"CRO-04G021900","conserved hypothetical protein","IPAP"
"CRO-04G022500","Pectin lyase-like superfamily protein","IPAP"
"CRO-04G024660","1-deoxy-D-xylulose 5-phosphate reductoisomerase","IPAP"
"CRO-04G031560","ADP-ribosylation factor family protein","IPAP"
"CRO-05G001760","geranylgeranyl reductase","IPAP"
"CRO-05G004090","conserved hypothetical protein","IPAP"
"CRO-05G004100","Tetratricopeptide repeat (TPR)-like superfamily protein","IPAP"
"CRO-05G006880","oxophytodienoate-reductase","IPAP"
"CRO-05G007480","jasmonate-zim-domain protein","IPAP"
"CRO-05G008480","ZIP metal ion transporter family","IPAP"
